symbol,entry_time,exit_time,entry_price,exit_price,direction,quantity,entry_prob,expected_mfe_atr,expected_mae_atr,risk_multiplier,directional_bias,session_quality,volatility_regime,trend_regime,market_state,pnl,pnl_atr,actual_mfe,actual_mae,actual_mfe_atr,actual_mae_atr,holding_minutes,exit_reason
TITAN,2025-10-21 14:13:00+05:30,2025-10-21 14:22:00+05:30,3736.9,3728.7,1,1,0.726460338991755,1.6649292201959145,0.41115366632925215,0.6939658946821877,1,0.7,2,2,1,-8.200000000000273,-1.003298435074127,0.5,-9.700000000000273,0.06117673384598131,-1.1868286366120708,9,Absorption failure (stalled)
TATAELXSI,2025-10-21 13:45:00+05:30,2025-10-21 14:22:00+05:30,5430.5,5407.5,-1,1,0.7849173583032896,1.705869923281273,0.46965879019711193,0.6700360418300706,-1,0.4,2,1,2,23.0,1.2868901965322583,22.0,0.0,1.2309384488569428,0.0,36,Session stopped (bad day)
LT,2025-10-21 14:19:00+05:30,2025-10-21 14:23:00+05:30,3892.0,3891.4,-1,1,0.6112214181397879,1.2905085533374197,0.3992899760484563,0.70152695555472,-1,0.7,2,1,1,0.599999999999909,0.07684347901718311,0.599999999999909,-0.900000000000091,0.07684347901718311,-0.11526521852580379,3,Session stopped (bad day)
TATAELXSI,2025-10-23 09:15:00+05:30,2025-10-23 09:21:00+05:30,5413.5,5406.5,-1,1,0.7773047709432481,2.020632868754498,0.5199435416833492,0.6841110146077314,-1,0.4,2,1,2,7.0,0.15451936218113027,7.0,-7.5,0.15451936218113027,-0.16555645947978245,6,Absorption failure (stalled)
SIEMENS,2025-10-23 09:15:00+05:30,2025-10-23 09:24:00+05:30,3119.0,3140.4,-1,1,0.7351480825718897,2.0249259660220447,0.5538156120924296,0.723047272513559,-1,0.4,2,0,1,-21.40000000000009,-2.00155367071851,0.3000000000001819,-21.40000000000009,0.028059163608220302,-2.00155367071851,9,Max loss hit
TATAELXSI,2025-10-23 09:22:00+05:30,2025-10-23 09:28:00+05:30,5410.0,5443.0,-1,1,0.8228972870248227,1.659012171753774,0.38459127270529675,0.6335845312596953,-1,0.4,2,1,2,-33.0,-0.7527129680736638,0.0,-35.5,0.0,-0.8097366777762142,6,Absorption failure (stalled)
TVSMOTOR,2025-10-23 09:18:00+05:30,2025-10-23 09:29:00+05:30,3655.6,3674.0,-1,1,0.7055517202460891,2.223064659154631,0.42417615303295275,0.5247249536831617,-1,0.4,2,1,2,-18.40000000000009,-0.7425774546134698,10.699999999999818,-21.40000000000009,0.431824932845867,-0.8636498656917523,10,Session stopped (bad day)
LT,2025-10-23 09:15:00+05:30,2025-10-23 09:29:00+05:30,3909.7,3904.0,-1,1,0.6968102221352054,2.2408326117532305,0.5369047632986942,0.7909880738290404,-1,0.7,2,1,1,5.699999999999818,0.6013886981395332,5.699999999999818,-2.200000000000273,0.6013886981395332,-0.23211493612406656,13,Session stopped (bad day)
TITAN,2025-10-23 09:18:00+05:30,2025-10-23 09:29:00+05:30,3755.7,3758.0,1,1,0.6739593141028238,1.6654362924954207,0.6489187227489689,0.6789398211775327,1,0.4,2,2,2,2.300000000000182,0.11326597634690286,3.100000000000364,-13.699999999999818,0.15266283768496186,-0.6746712504140983,10,Session stopped (bad day)
SIEMENS,2025-10-23 09:26:00+05:30,2025-10-23 09:29:00+05:30,3144.0,3140.8,1,1,0.6897665143126395,1.7384372166283724,0.4789707888990015,0.7837104087656483,1,0.4,2,1,2,-3.199999999999818,-0.21037843689919722,0.09999999999990905,-2.199999999999818,0.006574326153094307,-0.14463517536819434,2,Session stopped (bad day)
